category_item,mean_spent,std_spent
Auto-moto/Parkovanie,0.5,
Auto-moto/Pohonné hmoty,70.328,47.635220942971536
Auto-moto/Servis,1003.96,
Auto-moto/null,104.96444444444445,123.69265607674637
Bývanie a energie/Ostatné - Bývanie a energie,450.4533333333333,369.0076889894482
Bývanie a energie/Upratovanie,444.0,
Bývanie a energie/Vybavenie a doplnky,231.64000000000001,275.8600285058942
Bývanie a energie/null,612.3394736842106,884.4034665899802
Cestovanie/Ubytovanie,386.6666666666667,482.626753644401
Cestovanie/null,123.5,
"Elektronika, komunikácia a média/Elektronika",12.32,
"Elektronika, komunikácia a média/null",8.99,
Nezatriedené výdavky/null,5.28,
Oblečenie a obuv/Doplnky,1.99,
Oblečenie a obuv/Móda,109.54923076923077,136.54145777391437
Oblečenie a obuv/Topánky,108.523,238.22043801907506
Oblečenie a obuv/null,124.84199999999998,99.28887389833768
Ostatné výdavky/Darčeky,299.552,361.5573142947049
Ostatné výdavky/null,206.17199999999997,393.332906416435
Stravovanie/Ostatné - Strava a potraviny,45.599999999999994,
Stravovanie/Potraviny,2913.6286842105264,3213.28973968556
Stravovanie/Reštaurácie a kaviarne,619.6559375,1593.2887532839204
Stravovanie/null,5475.417142857143,3933.5729443346286
Vreckové a výživné/Vreckové,105.24,
Vzdelanie/Kurzy a doučovanie,399.0,
Vzdelanie/Učebnice a školské potreby,32.461666666666666,44.457391024065586
Zdravie a osobná starostlivosť/Drogéria,354.1035714285714,540.9247077083285
Zdravie a osobná starostlivosť/Kozmetika a optika,25.1,19.65756851698602
Zdravie a osobná starostlivosť/Lekári a nemocnice,30.0,0.0
Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,128.02266666666665,153.29481523552985
Zdravie a osobná starostlivosť/null,276.8055882352941,465.3691282502862
Zábava a oddych/Hry a hračky,33.814166666666665,54.9582066761699
Zábava a oddych/Knihy a tlač,235.49285714285716,313.79427765731515
Zábava a oddych/Ostatné - Oddych a záľuby,5.9,2.6870057685088806
Zábava a oddych/Trafika,2.2,
Zábava a oddych/Zábava,283.096,690.5154536882012
Zábava a oddych/Záľuby a šport,37.38777777777778,38.33219396857483
Zábava a oddych/null,133.4886111111111,153.36824309303555
